pdb_code	resolution	software	refinement	r_work	r_free	stereo_target	is_multipole
1d8g	0.74	SHELXL-97	None	None	0.131	SADI RESTRAINTS ON BACKBONE	False
1ejg	0.54	MOLLY	None	0.09	0.094	None	True
1iua	0.8	SHELXL-97	MOLECULAR REPLACEMENT	None	0.1141	Engh&Huber	False
1pq7	0.8	SHELXL	MOLECULAR REPLACEMENT	0.1094	None	Engh&Huber	False
1r6j	0.73	SHELXL-97	AB INITIO	0.0747	0.0866	None	False
1ucs	0.62	SHELXL-97	MOLECULAR REPLACEMENT	0.133	0.155	Engh&Huber	False
1us0	0.66	SHELXL-97	MAD	None	0.1032	Engh&Huber	False
1w0n	0.8	REFMAC	OTHER	0.129	0.144	MAXIMUM LIKELIHOOD	False
1x6z	0.78	REFMAC	MOLECULAR REPLACEMENT	0.14194	0.1535	MAXIMUM LIKELIHOOD	False
1yk4	0.69	SHELXL-97	AB INITIO PHASING	0.1	0.108	Engh&Huber	False
2b97	0.75	SHELXL-97	FOURIER SYNTHESIS	0.1295	0.1482	Engh&Huber	False
2ixt	0.8	REFMAC	MOLECULAR REPLACEMENT	0.137	0.154	MAXIMUM LIKELIHOOD	False
2ov0	0.75	SHELX	AB INITIO	0.1251	0.1418	Engh&Huber	False
2pve	0.79	SHELXL-97	MOLECULAR REPLACEMENT	None	0.125	Engh&Huber	False
2qxw	0.8	SHELXL-97	MOLECULAR REPLACEMENT	0.104	0.1121	Engh&Huber	False
2vb1	0.65	SHELXL-97	OTHER	None	0.0952	Engh&Huber	False
2wfi	0.75	SHELXL-97	DIRECT METHODS	None	0.124	Engh&Huber	False
2wfj	0.75	SHELXL-97	DIRECT METHODS	None	0.129	Engh&Huber	False
2ygi	0.8	SHELXL-97	AB INITIO PHASING	None	0.0894	Engh&Huber	False
2ygj	0.8	SHELXL-97	SAD	None	0.1091	Engh&Huber	False
3a38	0.7	SHELXL-97	MOLECULAR REPLACEMENT	0.0658	0.074	Engh&Huber	False
3a39	0.72	SHELXL-97	MOLECULAR REPLACEMENT	0.0682	0.0758	Engh&Huber	False
3al1	0.75	SHELXL-97	DIRECT METHODS	None	0.145	Engh&Huber	False
3bcj	0.78	SHELXL-97	MOLECULAR REPLACEMENT	0.1	0.11	Engh&Huber	False
3d43	0.8	SHELXL-97	MOLECULAR REPLACEMENT	0.1459	0.1661	Engh&Huber	False
3mfj	0.8	SHELXL-97	AB INITIO PHASING	0.1051	0.112	Engh&Huber	False
3mi4	0.8	SHELXL-97	AB INITIO PHASING	0.105	0.1123	Engh&Huber	False
3nir	0.48	MOPRO	ISOMORPHOUS TO PDB ENTRY 1EJG	0.127	None	Engh&Huber	True
3p4j	0.55	SHELX	MOLECULAR REPLACEMENT	0.078	0.085	NONE	False
3ui4	0.8	PHENIX	FOURIER SYNTHESIS	0.0952	0.0978	ML	False
3w5h	0.78	CNS	MOLECULAR REPLACEMENT	0.1259	0.1439	Engh&Huber	False
3x2m	0.64	PHENIX	MOLECULAR REPLACEMENT	0.1221	0.1289	ML	False
3x34	0.76	SHELXL-97	MOLECULAR REPLACEMENT	0.106	0.131	Engh&Huber	False
4g13	0.8	SHELXL-97	AB INITIO PHASING	0.078	0.081	Engh&Huber	False
4hig	0.75	SHELXL-97	MOLECULAR REPLACEMENT	None	0.081	None	False
4hp2	0.64	SHELXL	SHELXS/DIRECT-METHODS	0.0678	None	None	False
4i8g	0.8	SHELX	MOLECULAR REPLACEMENT	0.107	0.12	Engh&Huber	False
4i8h	0.75	SHELX	MOLECULAR REPLACEMENT	0.1	0.111	Engh&Huber	False
4lb3	0.8	PHENIX	MOLECULAR REPLACEMENT	0.1305	0.1308	ML	False
4lb4	0.8	PHENIX	MOLECULAR REPLACEMENT	0.1248	0.1314	ML	False
4lbr	0.8	PHENIX	MOLECULAR REPLACEMENT	0.1314	0.1344	ML	False
4lbs	0.76	PHENIX	MOLECULAR REPLACEMENT	0.132	0.1337	ML	False
4ocb	0.75	SHELXL-97	SAD	0.122	0.134	Parkinson	False
4rek	0.74	PHENIX	MOLECULAR REPLACEMENT	0.1127	0.1231	ML	False
4ua6	0.79	SHELXL	MOLECULAR REPLACEMENT	0.1101	0.1149	Engh&Huber	False
4zm7	0.701	PHENIX	MOLECULAR REPLACEMENT	0.1264	0.1347	ML	False
5al6	0.8	REFMAC	MOLECULAR REPLACEMENT	0.10637	0.11564	MAXIMUM LIKELIHOOD	False
5d8v	0.48	MOPRO	MOLECULAR REPLACEMENT	0.072	0.078	None	True
5gv7	0.8	SHELXL	MOLECULAR REPLACEMENT	0.122	0.144	None	False
5gv8	0.78	SHELXL	MOLECULAR REPLACEMENT	0.122	0.14	None	False
5jzq	0.78	SHELXL	AB INITIO PHASING	0.1386	0.1425	CLOWNEY, GELBIN & PARKINSON	False
5kwm	0.777	PHENIX	MOLECULAR REPLACEMENT	0.129	0.1372	ML	False
5mn1	0.79	PHENIX	MOLECULAR REPLACEMENT	0.0983	0.1093	None	False
5mnk	0.799	PHENIX	MOLECULAR REPLACEMENT	0.1046	0.1173	None	False
5nfm	0.8	PHENIX	MOLECULAR REPLACEMENT	0.1217	0.132	None	False
5nw3	0.59	PHENIX	None	0.1345	0.1458	None	False
5ome	0.747	PHENIX	AB INITIO PHASING	0.111	0.1214	None	False
5tda	0.79	PHENIX	MOLECULAR REPLACEMENT	0.1202	0.1281	None	False
5wqq	0.8	SHELXL	MOLECULAR REPLACEMENT	0.116	0.129	None	False
5wqr	0.8	SHELXL	MOLECULAR REPLACEMENT	0.106	0.118	None	False
5yce	0.77	PHENIX	MOLECULAR REPLACEMENT	0.1439	0.1615	ML	False
6anm	0.64	REFMAC	AB INITIO PHASING	0.0862	0.0901	None	False
6ann	0.76	REFMAC	AB INITIO PHASING	0.14362	0.15672	MAXIMUM LIKELIHOOD	False
6e6o	0.7	REFMAC	AB INITIO PHASING	0.1654	0.18445	MAXIMUM LIKELIHOOD	False
6jgj	0.78	SHELXL	MOLECULAR REPLACEMENT	0.108	0.125	None	False
6kl0	0.798	PHENIX	MOLECULAR REPLACEMENT	0.106	0.1198	ML	False
6l27	0.77	PHENIX	FOURIER SYNTHESIS	0.1184	0.1239	None	False
6mw0	0.78	SHELXL	AB INITIO PHASING	0.0985	None	None	False
6mw1	0.77	SHELXL	AB INITIO PHASING	0.0437	None	None	False
6mw2	0.77	SHELXL	AB INITIO PHASING	0.0424	None	None	False
6s2m	0.72	PHENIX	MOLECULAR REPLACEMENT	0.1042	0.1107	None	False
6tov	0.767	REFMAC	AB INITIO PHASING	0.0966	0.1143	None	False
6uf7	0.8	PHENIX	AB INITIO PHASING	0.0503	0.0518	None	False
