,resolution,bf_N:CA:C,bf_C:O,N:N+1,C:N+1,C:O,N:O,O-1:N,CA:CA+1,CA-1:CA,N:CA:C:N+1,C-1:N:CA:C,N:CA:C:O,CA-1:C-1:N:CA,CA:C:N+1:CA+1,N:CA:C,CA:C:N+1,C-1:N:CA,N:CA:O,CA-1:CA:CA+1,N-1:O-1:N
resolution,1.0,0.08978257137625409,0.08006428595077406,-0.01321972731717752,-0.04596889928182588,0.026456718585765312,0.009459455851114885,-0.030805455994437875,0.028142141291409704,0.03388024789016844,-0.014166587198803753,-0.011991182714759518,0.01982018264097995,0.0018755402982716539,-0.004676352745495773,-0.008921537836347939,0.007933341187898315,0.04588923459275317,0.005982619145668377,-0.008122411601810636,-0.010298636259217448
bf_N:CA:C,0.08978257137625409,1.0,0.9374232375388004,-0.060974710061341086,-0.11686944189446792,-0.07193244565410735,0.06484531249312084,-0.15336423852546952,0.01739689870442059,0.02058654009068789,-0.027631234790511983,0.07027091593628637,0.018645856906361686,-0.055126006178440004,-0.0405035864435481,0.09142094661841128,0.10201969973145028,0.01638424678806404,0.07232489353608496,-0.05119453907206183,-0.013759175658013425
bf_C:O,0.08006428595077406,0.9374232375388004,1.0,-0.08091977213420613,-0.12167647608588791,-0.08224598324358906,0.08129466966223046,-0.13207745695826575,0.022176806685543907,0.016219241293847577,-0.03585634797922839,0.06602733667595091,0.016187123848000966,-0.04773292773162138,-0.04163924969932589,0.08988603035750388,0.10734809129431439,0.011152650893135196,0.08977325302111487,-0.07146154016783723,-0.0070848399607723765
N:N+1,-0.01321972731717752,-0.060974710061341086,-0.08091977213420613,1.0,0.020183944042666057,-0.01015064040212031,-0.9875493703703632,0.10451885088384988,-0.17809655628644122,-0.11512985135047611,0.7655675611803332,-0.29685907249817356,-0.4845295761524204,0.10808707074596513,0.09599827499805885,-0.5606995892673564,-0.45452340584837925,0.1788140274267718,-0.9830389515688994,0.8867781925685243,0.40316845246287414
C:N+1,-0.04596889928182588,-0.11686944189446792,-0.12167647608588791,0.020183944042666057,1.0,-0.1958160073356052,-0.005849914429728586,0.07795308439780653,0.026205770482345354,0.005315387751515998,0.002838526234347753,-0.026466301156234367,-0.0017557566025955878,0.021217134912741093,0.01782075629377371,-0.03387962679460103,-0.11204821509327989,-0.014177739102598745,-0.013690460133927359,0.003247552204402654,-0.0180579926285222
C:O,0.026456718585765312,-0.07193244565410735,-0.08224598324358906,-0.01015064040212031,-0.1958160073356052,1.0,0.015396559495584085,0.07780988743799164,-0.0026934697605576537,0.01962286334911377,-0.029466432045813267,-0.013873354184571243,0.028627321974722213,0.0048667960145163365,-0.01602731176921482,-0.041396506916034144,0.19727188977295754,-0.024986813574017087,0.0006280837124457532,-0.013995181945637434,-0.0015663065191143498
N:O,0.009459455851114885,0.06484531249312084,0.08129466966223046,-0.9875493703703632,-0.005849914429728586,0.015396559495584085,1.0,-0.12171666994846825,0.19196280714846187,0.11403799894118825,-0.7686789876915388,0.3352816191694575,0.4862330695470941,-0.14068624433335356,-0.07832827971193716,0.6580976715931174,0.46782276419985847,-0.20466121985082314,0.9958456086309339,-0.8746261287071567,-0.3986267530698805
O-1:N,-0.030805455994437875,-0.15336423852546952,-0.13207745695826575,0.10451885088384988,0.07795308439780653,0.07780988743799164,-0.12171666994846825,1.0,0.00023285630960248545,0.0006598028780908012,0.12160362461912565,-0.13275008546079434,-0.1425477068804094,0.05254577904501954,0.0036312805955405563,-0.16508952558665888,-0.034732057137856126,0.13909063004231012,-0.11902796988582932,0.14812110846094997,0.162781005605824
CA:CA+1,0.028142141291409704,0.01739689870442059,0.022176806685543907,-0.17809655628644122,0.026205770482345354,-0.0026934697605576537,0.19196280714846187,0.00023285630960248545,1.0,0.0351933514679041,-0.13510584463456163,0.0007791436456965121,0.09908931375604876,-0.013921352831765352,-0.019811086874337355,0.03533984491561371,0.24265291594449173,0.010252159026433756,0.18454987838843384,-0.23199048903447458,-0.0888044063944516
CA-1:CA,0.03388024789016844,0.02058654009068789,0.016219241293847577,-0.11512985135047611,0.005315387751515998,0.01962286334911377,0.11403799894118825,0.0006598028780908012,0.0351933514679041,1.0,-0.08160185266383463,0.00557714191497097,0.033698586345086344,-0.017175898999201872,-0.01354147580056338,0.003530808257399631,0.07282798712675467,-0.07419295093412831,0.10384432997796023,-0.05274848246177288,-0.2138900415563769
N:CA:C:N+1,-0.014166587198803753,-0.027631234790511983,-0.03585634797922839,0.7655675611803332,0.002838526234347753,-0.029466432045813267,-0.7686789876915388,0.12160362461912565,-0.13510584463456163,-0.08160185266383463,1.0,-0.35209441544418035,-0.5896964047142007,0.09725017304972798,0.13908816962657466,-0.4882570654525119,-0.35930415055274373,0.2490095724892326,-0.759365193064918,0.6538293164446671,0.3570951004663319
C-1:N:CA:C,-0.011991182714759518,0.07027091593628637,0.06602733667595091,-0.29685907249817356,-0.026466301156234367,-0.013873354184571243,0.3352816191694575,-0.13275008546079434,0.0007791436456965121,0.00557714191497097,-0.35209441544418035,1.0,0.0950906609725588,0.019839566595279995,-0.04429217568464516,0.4249984022410165,0.11888857700908295,-0.11262397174477161,0.3397145945941443,-0.363170934530686,-0.12857935695879988
N:CA:C:O,0.01982018264097995,0.018645856906361686,0.016187123848000966,-0.4845295761524204,-0.0017557566025955878,0.028627321974722213,0.4862330695470941,-0.1425477068804094,0.09908931375604876,0.033698586345086344,-0.5896964047142007,0.0950906609725588,1.0,-0.07746346575186716,-0.061363942900305904,0.30659385944557843,0.2554212533067438,-0.33071431374029553,0.48094531184739664,-0.4468136865065015,-0.2263720911546012
CA-1:C-1:N:CA,0.0018755402982716539,-0.055126006178440004,-0.04773292773162138,0.10808707074596513,0.021217134912741093,0.0048667960145163365,-0.14068624433335356,0.05254577904501954,-0.013921352831765352,-0.017175898999201872,0.09725017304972798,0.019839566595279995,-0.07746346575186716,1.0,-0.0066657307261822375,-0.23112477141025475,-0.08921528143001362,0.021091600756123787,-0.14517548900334787,-0.03022997101587796,0.08812870143765701
CA:C:N+1:CA+1,-0.004676352745495773,-0.0405035864435481,-0.04163924969932589,0.09599827499805885,0.01782075629377371,-0.01602731176921482,-0.07832827971193716,0.0036312805955405563,-0.019811086874337355,-0.01354147580056338,0.13908816962657466,-0.04429217568464516,-0.061363942900305904,-0.0066657307261822375,1.0,0.03760232896828429,-0.08032559761135526,-0.010666740204218286,-0.07541450599346268,0.12346457133162128,0.003500891600371007
N:CA:C,-0.008921537836347939,0.09142094661841128,0.08988603035750388,-0.5606995892673564,-0.03387962679460103,-0.041396506916034144,0.6580976715931174,-0.16508952558665888,0.03533984491561371,0.003530808257399631,-0.4882570654525119,0.4249984022410165,0.30659385944557843,-0.23112477141025475,0.03760232896828429,1.0,0.23912785714289925,-0.21093267106810235,0.6879109917090998,-0.41002434335726273,-0.18908371689349454
CA:C:N+1,0.007933341187898315,0.10201969973145028,0.10734809129431439,-0.45452340584837925,-0.11204821509327989,0.19727188977295754,0.46782276419985847,-0.034732057137856126,0.24265291594449173,0.07282798712675467,-0.35930415055274373,0.11888857700908295,0.2554212533067438,-0.08921528143001362,-0.08032559761135526,0.23912785714289925,1.0,-0.03086284404613074,0.48964386087478323,-0.44518424152862096,-0.20342162324750582
C-1:N:CA,0.04588923459275317,0.01638424678806404,0.011152650893135196,0.1788140274267718,-0.014177739102598745,-0.024986813574017087,-0.20466121985082314,0.13909063004231012,0.010252159026433756,-0.07419295093412831,0.2490095724892326,-0.11262397174477161,-0.33071431374029553,0.021091600756123787,-0.010666740204218286,-0.21093267106810235,-0.03086284404613074,1.0,-0.1938452560676386,0.24562367454090783,0.0851115807559393
N:CA:O,0.005982619145668377,0.07232489353608496,0.08977325302111487,-0.9830389515688994,-0.013690460133927359,0.0006280837124457532,0.9958456086309339,-0.11902796988582932,0.18454987838843384,0.10384432997796023,-0.759365193064918,0.3397145945941443,0.48094531184739664,-0.14517548900334787,-0.07541450599346268,0.6879109917090998,0.48964386087478323,-0.1938452560676386,1.0,-0.855687623416644,-0.3883587114101908
CA-1:CA:CA+1,-0.008122411601810636,-0.05119453907206183,-0.07146154016783723,0.8867781925685243,0.003247552204402654,-0.013995181945637434,-0.8746261287071567,0.14812110846094997,-0.23199048903447458,-0.05274848246177288,0.6538293164446671,-0.363170934530686,-0.4468136865065015,-0.03022997101587796,0.12346457133162128,-0.41002434335726273,-0.44518424152862096,0.24562367454090783,-0.855687623416644,1.0,0.35868641105073906
N-1:O-1:N,-0.010298636259217448,-0.013759175658013425,-0.0070848399607723765,0.40316845246287414,-0.0180579926285222,-0.0015663065191143498,-0.3986267530698805,0.162781005605824,-0.0888044063944516,-0.2138900415563769,0.3570951004663319,-0.12857935695879988,-0.2263720911546012,0.08812870143765701,0.003500891600371007,-0.18908371689349454,-0.20342162324750582,0.0851115807559393,-0.3883587114101908,0.35868641105073906,1.0
