,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
resolution,0.013747154427006221,0.16434981652181133,0.21023289884396734,-0.1961872595310037,0.11212973010936925,-0.08924401723753443,0.3380700623297328,0.2133252777479516,0.7274940423084848,0.38500812259347034
bf_N:CA:C,0.061242988260099496,0.6553813223217713,-0.08271831543242297,-0.12360928549852737,-0.06766289451296137,0.05681938396443567,-0.021794914976505757,-0.007534528429513706,-0.10246416382320386,-0.012558648304157843
bf_C:O,0.06933347677881299,0.6494843114377247,-0.08327526526257532,-0.13939585315162256,-0.059220498999757586,0.06566387677485319,-0.015343051966419403,-0.012689550761024095,-0.12198544046493993,-0.02876200169177191
N:N+1,-0.38291792250714024,0.06076091396663063,-0.021478174924655643,0.04689993804017575,-0.09073258388889777,0.03957995607071303,-0.0066717776724725,0.018888678219624363,-0.012717447245141603,0.08076891113395443
C:N+1,-0.024074094050218077,-0.20896960014356072,-0.43556817631367867,-0.32793108002915783,0.14720927925357352,-0.2345445759932066,-0.08832124201226525,-0.1069676518147329,0.06815163118454337,-0.0170681047413984
C:O,0.006219603828577847,-0.05374466757540206,0.6529053977394277,0.2035870127340392,-0.11242428238040453,0.15484892918579696,0.026649903108410845,0.0309214906785201,-0.07309989352916677,0.015365106129484676
N:O,0.39032009793193684,-0.05447788153587122,-0.0016311914054181712,-0.010173150320186636,0.053268019641864214,-0.07184522992828579,0.010219591686288158,-0.011113806334333431,0.013847960391047161,-0.051186523001643315
CA:CA+1,0.10382715219162196,-0.033075911189474214,0.13492260413670593,-0.3600895175577428,0.2538724327880974,-0.2703500852261186,0.03094393816179792,-0.04286200814698526,-0.40204159580784443,0.5225298949081975
CA-1:CA,0.03714020269555202,-0.015178086213921447,0.08221977249828345,-0.23032557563643546,0.04208829206927452,-0.21004257063959034,-0.10388983045854304,0.8058856862651632,-0.04017600335924483,-0.43118166378726713
N:CA:C:N+1,-0.33535912211038243,0.0869781788671168,0.01514295003172331,0.04732433790098726,0.05586265317111034,-0.12070444520716439,0.07654320943733697,-0.007233519627043969,-0.11216651563839614,-0.015386293551869096
C-1:N:CA:C,0.1767156090709417,0.024749310936287627,-0.2519567707879209,0.4082959657396937,0.11349254275056396,0.21354987140385445,0.1992673679715034,0.15633848871604025,0.07359451567625157,0.06073054897402076
N:CA:C:O,0.23403119474073175,-0.08427165323643611,0.029167769324469257,-0.24304960832998082,-0.36157353204469284,0.1872212998953049,-0.08640104818632696,-0.06164002957976505,0.078048959576356,0.09074977540832196
CA-1:C-1:N:CA,-0.053357192223971874,-0.08768144212496,-0.07643847029560534,-0.18068374213194383,0.3850059912476486,0.6112187842229139,0.41335188978428516,0.1481151011478711,-0.24665461343141726,-0.003309265639964488
CA:C:N+1:CA+1,-0.03943263195332129,-0.04470226282613497,-0.09884197608949141,0.17598274625048563,-0.3412544541999771,-0.37151427715250585,0.5957056949771254,0.1907758325998146,-0.34266072155692834,0.1487837690085744
N:CA:C,0.2799461047538585,0.04732987948795967,-0.1688318976413377,0.2659015496699991,-0.15051561205691563,-0.16672879520372827,0.044968912997078954,-0.0015018510327493761,0.06616269262209826,0.1095248103156129
CA:C:N+1,0.21887317044742574,0.06439413252461566,0.3964343931601077,0.0033201371838832046,0.08389164913097995,-0.11847222099916038,-0.06435828544304553,-0.09970476086928835,-0.20383437827412293,-0.07173289301128435
C-1:N:CA,-0.10355696774016503,0.1392021377876615,0.11957349650584888,0.22690006941831148,0.5913884134195886,-0.3261060603453685,0.07378065699282568,-0.20409745270721177,0.0835210439574565,-0.2060345974043226
N:CA:O,0.39107506540509757,-0.04257824338228776,-0.0037999695428618478,0.00832785832823577,0.05424342042206895,-0.08531296139268085,0.010629324513901924,-0.02405576375615404,0.008773828964466358,-0.05291767585663927
CA-1:CA:CA+1,-0.3531808276927052,0.07048208574302904,-0.010068587112866718,0.11092671337861822,-0.13781337728072163,-0.11763663610471561,-0.0731059778647002,0.02123679231986798,0.06721220852672968,0.007406263687984374
dssp_code,0.2423490962775779,0.0832215680889491,-0.07778682557151251,0.16319867274944785,0.08502423410000653,-0.0456120862869989,0.21360239609611392,-0.09037782422983988,0.02208195374296435,-0.25371934172129057
aa_code,-0.05678080008248414,-0.051550937281064385,0.11953262296803177,-0.3741058262003387,-0.21845237364459802,-0.057947909980090355,0.4723769618390102,-0.37773427972969553,0.10701396379982375,-0.47013760293272516
